samplename	family	nreads
ClaidentTutorial__Sample04__MiFish	08_Nemacheilidae	492
ClaidentTutorial__Sample04__MiFish	09_Nothobranchiidae	993
ClaidentTutorial__Sample04__MiFish	10_Siganidae	493
ClaidentTutorial__Sample04__MiFish	11_Poeciliidae	493
ClaidentTutorial__Sample04__MiFish	12_Stomiidae	989
ClaidentTutorial__Sample04__MiFish	13_Leuciscidae	0
ClaidentTutorial__Sample04__MiFish	14_Osphronemidae	496
ClaidentTutorial__Sample04__MiFish	15_Xenocyprididae	983
ClaidentTutorial__Sample04__MiFish	16_Umbridae	493
ClaidentTutorial__Sample04__MiFish	17_Tetraodontidae	487
ClaidentTutorial__Sample04__MiFish	18_Cobitidae	0
ClaidentTutorial__Sample04__MiFish	19_Notopteridae	0
ClaidentTutorial__Sample04__MiFish	20_Synodontidae	495
ClaidentTutorial__Sample04__MiFish	21_Soleidae	490
ClaidentTutorial__Sample04__MiFish	22_Sinipercidae	495
ClaidentTutorial__Sample04__MiFish	23_Nemipteridae	0
ClaidentTutorial__Sample04__MiFish	24_Centrarchidae	0
ClaidentTutorial__Sample04__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample04__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample04__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample04__MiFish	28_Labridae	0
ClaidentTutorial__Sample04__MiFish	29_Cottidae	0
ClaidentTutorial__Sample04__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample04__MiFish	31_Doradidae	503
ClaidentTutorial__Sample04__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample04__MiFish	33_Molidae	0
ClaidentTutorial__Sample04__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample04__MiFish	35_Pomacanthidae	495
ClaidentTutorial__Sample04__MiFish	36_Zenionidae	0
ClaidentTutorial__Sample04__MiFish	37_Ariidae	0
ClaidentTutorial__Sample04__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample04__MiFish	39_Muraenidae	0
ClaidentTutorial__Sample04__MiFish	40_unidentified_Teleostei	493
ClaidentTutorial__Sample04__MiFish	41_Polynemidae	494
ClaidentTutorial__Sample04__MiFish	42_Channidae	0
ClaidentTutorial__Sample04__MiFish	43_Epigonidae	492
ClaidentTutorial__Sample04__MiFish	44_Serranidae	0
ClaidentTutorial__Sample04__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample04__MiFish	46_Sillaginidae	0
ClaidentTutorial__Sample04__MiFish	47_Alestidae	0
ClaidentTutorial__Sample04__MiFish	48_Scombridae	494
ClaidentTutorial__Sample04__MiFish	49_Albulidae	492
ClaidentTutorial__Sample04__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample04__MiFish	51_others	7888
ClaidentTutorial__Sample05__MiFish	01_Cyprinidae	1474
ClaidentTutorial__Sample05__MiFish	02_Engraulidae	492
ClaidentTutorial__Sample05__MiFish	03_Clupeidae	992
ClaidentTutorial__Sample05__MiFish	04_Gobiidae	1468
ClaidentTutorial__Sample05__MiFish	05_Danionidae	0
ClaidentTutorial__Sample05__MiFish	06_Gobionidae	492
ClaidentTutorial__Sample05__MiFish	07_Acheilognathidae	991
ClaidentTutorial__Sample05__MiFish	08_Nemacheilidae	987
ClaidentTutorial__Sample05__MiFish	09_Nothobranchiidae	991
ClaidentTutorial__Sample05__MiFish	10_Siganidae	498
ClaidentTutorial__Sample05__MiFish	11_Poeciliidae	495
ClaidentTutorial__Sample05__MiFish	12_Stomiidae	991
ClaidentTutorial__Sample05__MiFish	13_Leuciscidae	496
ClaidentTutorial__Sample05__MiFish	14_Osphronemidae	497
ClaidentTutorial__Sample05__MiFish	15_Xenocyprididae	987
ClaidentTutorial__Sample05__MiFish	16_Umbridae	496
ClaidentTutorial__Sample05__MiFish	17_Tetraodontidae	492
ClaidentTutorial__Sample05__MiFish	18_Cobitidae	0
ClaidentTutorial__Sample05__MiFish	19_Notopteridae	0
ClaidentTutorial__Sample05__MiFish	20_Synodontidae	494
ClaidentTutorial__Sample05__MiFish	21_Soleidae	500
ClaidentTutorial__Sample05__MiFish	22_Sinipercidae	498
ClaidentTutorial__Sample05__MiFish	23_Nemipteridae	0
ClaidentTutorial__Sample05__MiFish	24_Centrarchidae	0
ClaidentTutorial__Sample05__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample05__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample05__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample05__MiFish	28_Labridae	0
ClaidentTutorial__Sample05__MiFish	29_Cottidae	0
ClaidentTutorial__Sample05__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample05__MiFish	31_Doradidae	495
ClaidentTutorial__Sample05__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample05__MiFish	33_Molidae	0
ClaidentTutorial__Sample05__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample05__MiFish	35_Pomacanthidae	496
ClaidentTutorial__Sample05__MiFish	36_Zenionidae	0
ClaidentTutorial__Sample05__MiFish	37_Ariidae	0
ClaidentTutorial__Sample05__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample05__MiFish	39_Muraenidae	488
ClaidentTutorial__Sample05__MiFish	40_unidentified_Teleostei	491
ClaidentTutorial__Sample05__MiFish	41_Polynemidae	486
ClaidentTutorial__Sample05__MiFish	42_Channidae	0
ClaidentTutorial__Sample05__MiFish	43_Epigonidae	491
ClaidentTutorial__Sample05__MiFish	44_Serranidae	0
ClaidentTutorial__Sample05__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample05__MiFish	46_Sillaginidae	0
ClaidentTutorial__Sample05__MiFish	47_Alestidae	0
ClaidentTutorial__Sample05__MiFish	48_Scombridae	494
ClaidentTutorial__Sample05__MiFish	49_Albulidae	491
ClaidentTutorial__Sample05__MiFish	50_Aracanidae	495
ClaidentTutorial__Sample05__MiFish	51_others	5925
ClaidentTutorial__Sample06__MiFish	01_Cyprinidae	989
ClaidentTutorial__Sample06__MiFish	02_Engraulidae	494
ClaidentTutorial__Sample06__MiFish	03_Clupeidae	986
ClaidentTutorial__Sample06__MiFish	04_Gobiidae	1967
ClaidentTutorial__Sample06__MiFish	05_Danionidae	0
ClaidentTutorial__Sample06__MiFish	06_Gobionidae	493
ClaidentTutorial__Sample06__MiFish	07_Acheilognathidae	989
ClaidentTutorial__Sample06__MiFish	08_Nemacheilidae	991
ClaidentTutorial__Sample06__MiFish	09_Nothobranchiidae	487
ClaidentTutorial__Sample06__MiFish	10_Siganidae	493
ClaidentTutorial__Sample06__MiFish	11_Poeciliidae	984
ClaidentTutorial__Sample06__MiFish	12_Stomiidae	990
ClaidentTutorial__Sample06__MiFish	13_Leuciscidae	491
ClaidentTutorial__Sample06__MiFish	14_Osphronemidae	493
ClaidentTutorial__Sample06__MiFish	15_Xenocyprididae	984
ClaidentTutorial__Sample06__MiFish	16_Umbridae	496
ClaidentTutorial__Sample06__MiFish	17_Tetraodontidae	492
ClaidentTutorial__Sample06__MiFish	18_Cobitidae	490
ClaidentTutorial__Sample06__MiFish	19_Notopteridae	0
ClaidentTutorial__Sample06__MiFish	20_Synodontidae	493
ClaidentTutorial__Sample06__MiFish	21_Soleidae	494
ClaidentTutorial__Sample06__MiFish	22_Sinipercidae	492
ClaidentTutorial__Sample06__MiFish	23_Nemipteridae	0
ClaidentTutorial__Sample06__MiFish	24_Centrarchidae	0
ClaidentTutorial__Sample06__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample06__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample06__MiFish	27_Cichlidae	488
ClaidentTutorial__Sample06__MiFish	28_Labridae	0
ClaidentTutorial__Sample06__MiFish	29_Cottidae	0
ClaidentTutorial__Sample06__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample06__MiFish	31_Doradidae	495
ClaidentTutorial__Sample06__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample06__MiFish	33_Molidae	0
ClaidentTutorial__Sample06__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample06__MiFish	35_Pomacanthidae	485
ClaidentTutorial__Sample06__MiFish	36_Zenionidae	0
ClaidentTutorial__Sample06__MiFish	37_Ariidae	0
ClaidentTutorial__Sample06__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample06__MiFish	39_Muraenidae	490
ClaidentTutorial__Sample06__MiFish	40_unidentified_Teleostei	493
ClaidentTutorial__Sample06__MiFish	41_Polynemidae	495
ClaidentTutorial__Sample06__MiFish	42_Channidae	0
ClaidentTutorial__Sample06__MiFish	43_Epigonidae	497
ClaidentTutorial__Sample06__MiFish	44_Serranidae	491
ClaidentTutorial__Sample06__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample06__MiFish	46_Sillaginidae	490
ClaidentTutorial__Sample06__MiFish	47_Alestidae	0
ClaidentTutorial__Sample06__MiFish	48_Scombridae	493
ClaidentTutorial__Sample06__MiFish	49_Albulidae	490
ClaidentTutorial__Sample06__MiFish	50_Aracanidae	493
ClaidentTutorial__Sample06__MiFish	51_others	3932
ClaidentTutorial__Sample07__MiFish	01_Cyprinidae	989
ClaidentTutorial__Sample07__MiFish	02_Engraulidae	493
ClaidentTutorial__Sample07__MiFish	03_Clupeidae	1470
ClaidentTutorial__Sample07__MiFish	04_Gobiidae	987
ClaidentTutorial__Sample07__MiFish	05_Danionidae	490
ClaidentTutorial__Sample07__MiFish	06_Gobionidae	496
ClaidentTutorial__Sample07__MiFish	07_Acheilognathidae	983
ClaidentTutorial__Sample07__MiFish	08_Nemacheilidae	994
ClaidentTutorial__Sample07__MiFish	09_Nothobranchiidae	490
ClaidentTutorial__Sample07__MiFish	10_Siganidae	496
ClaidentTutorial__Sample07__MiFish	11_Poeciliidae	983
ClaidentTutorial__Sample07__MiFish	12_Stomiidae	984
ClaidentTutorial__Sample07__MiFish	13_Leuciscidae	984
ClaidentTutorial__Sample07__MiFish	14_Osphronemidae	492
ClaidentTutorial__Sample07__MiFish	15_Xenocyprididae	989
ClaidentTutorial__Sample07__MiFish	16_Umbridae	985
ClaidentTutorial__Sample07__MiFish	17_Tetraodontidae	486
ClaidentTutorial__Sample07__MiFish	18_Cobitidae	499
ClaidentTutorial__Sample07__MiFish	19_Notopteridae	502
ClaidentTutorial__Sample07__MiFish	20_Synodontidae	493
ClaidentTutorial__Sample07__MiFish	21_Soleidae	492
ClaidentTutorial__Sample07__MiFish	22_Sinipercidae	496
ClaidentTutorial__Sample07__MiFish	23_Nemipteridae	493
ClaidentTutorial__Sample07__MiFish	24_Centrarchidae	0
ClaidentTutorial__Sample07__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample07__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample07__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample07__MiFish	28_Labridae	0
ClaidentTutorial__Sample07__MiFish	29_Cottidae	495
ClaidentTutorial__Sample07__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample07__MiFish	31_Doradidae	496
ClaidentTutorial__Sample07__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample07__MiFish	33_Molidae	0
ClaidentTutorial__Sample07__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample07__MiFish	35_Pomacanthidae	491
ClaidentTutorial__Sample07__MiFish	36_Zenionidae	495
ClaidentTutorial__Sample07__MiFish	37_Ariidae	0
ClaidentTutorial__Sample07__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample07__MiFish	39_Muraenidae	490
ClaidentTutorial__Sample07__MiFish	40_unidentified_Teleostei	498
ClaidentTutorial__Sample07__MiFish	41_Polynemidae	497
ClaidentTutorial__Sample07__MiFish	42_Channidae	0
ClaidentTutorial__Sample07__MiFish	43_Epigonidae	496
ClaidentTutorial__Sample07__MiFish	44_Serranidae	485
ClaidentTutorial__Sample07__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample07__MiFish	46_Sillaginidae	0
ClaidentTutorial__Sample07__MiFish	47_Alestidae	0
ClaidentTutorial__Sample07__MiFish	48_Scombridae	0
ClaidentTutorial__Sample07__MiFish	49_Albulidae	0
ClaidentTutorial__Sample07__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample07__MiFish	51_others	3441
ClaidentTutorial__Sample08__MiFish	01_Cyprinidae	498
ClaidentTutorial__Sample08__MiFish	02_Engraulidae	498
ClaidentTutorial__Sample08__MiFish	03_Clupeidae	985
ClaidentTutorial__Sample08__MiFish	04_Gobiidae	1470
ClaidentTutorial__Sample08__MiFish	05_Danionidae	975
ClaidentTutorial__Sample08__MiFish	06_Gobionidae	491
ClaidentTutorial__Sample08__MiFish	07_Acheilognathidae	984
ClaidentTutorial__Sample08__MiFish	08_Nemacheilidae	988
ClaidentTutorial__Sample08__MiFish	09_Nothobranchiidae	984
ClaidentTutorial__Sample08__MiFish	10_Siganidae	496
ClaidentTutorial__Sample08__MiFish	11_Poeciliidae	993
ClaidentTutorial__Sample08__MiFish	12_Stomiidae	981
ClaidentTutorial__Sample08__MiFish	13_Leuciscidae	984
ClaidentTutorial__Sample08__MiFish	14_Osphronemidae	496
ClaidentTutorial__Sample08__MiFish	15_Xenocyprididae	485
ClaidentTutorial__Sample08__MiFish	16_Umbridae	981
ClaidentTutorial__Sample08__MiFish	17_Tetraodontidae	0
ClaidentTutorial__Sample08__MiFish	18_Cobitidae	496
ClaidentTutorial__Sample08__MiFish	19_Notopteridae	495
ClaidentTutorial__Sample08__MiFish	20_Synodontidae	494
ClaidentTutorial__Sample08__MiFish	21_Soleidae	486
ClaidentTutorial__Sample08__MiFish	22_Sinipercidae	497
ClaidentTutorial__Sample08__MiFish	23_Nemipteridae	492
ClaidentTutorial__Sample08__MiFish	24_Centrarchidae	491
ClaidentTutorial__Sample08__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample08__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample08__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample08__MiFish	28_Labridae	0
ClaidentTutorial__Sample08__MiFish	29_Cottidae	491
ClaidentTutorial__Sample08__MiFish	30_Rhombosoleidae	492
ClaidentTutorial__Sample08__MiFish	31_Doradidae	489
ClaidentTutorial__Sample08__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample08__MiFish	33_Molidae	0
ClaidentTutorial__Sample08__MiFish	34_Holocentridae	490
ClaidentTutorial__Sample08__MiFish	35_Pomacanthidae	493
ClaidentTutorial__Sample08__MiFish	36_Zenionidae	496
ClaidentTutorial__Sample08__MiFish	37_Ariidae	0
ClaidentTutorial__Sample08__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample08__MiFish	39_Muraenidae	0
ClaidentTutorial__Sample08__MiFish	40_unidentified_Teleostei	494
ClaidentTutorial__Sample08__MiFish	41_Polynemidae	493
ClaidentTutorial__Sample08__MiFish	42_Channidae	0
ClaidentTutorial__Sample08__MiFish	43_Epigonidae	496
ClaidentTutorial__Sample08__MiFish	44_Serranidae	0
ClaidentTutorial__Sample08__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample08__MiFish	46_Sillaginidae	0
ClaidentTutorial__Sample08__MiFish	47_Alestidae	0
ClaidentTutorial__Sample08__MiFish	48_Scombridae	0
ClaidentTutorial__Sample08__MiFish	49_Albulidae	0
ClaidentTutorial__Sample08__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample08__MiFish	51_others	3451
ClaidentTutorial__Sample09__MiFish	01_Cyprinidae	1474
ClaidentTutorial__Sample09__MiFish	02_Engraulidae	989
ClaidentTutorial__Sample09__MiFish	03_Clupeidae	1482
ClaidentTutorial__Sample09__MiFish	04_Gobiidae	496
ClaidentTutorial__Sample09__MiFish	05_Danionidae	1476
ClaidentTutorial__Sample09__MiFish	06_Gobionidae	491
ClaidentTutorial__Sample09__MiFish	07_Acheilognathidae	993
ClaidentTutorial__Sample09__MiFish	08_Nemacheilidae	989
ClaidentTutorial__Sample09__MiFish	09_Nothobranchiidae	496
ClaidentTutorial__Sample09__MiFish	10_Siganidae	492
ClaidentTutorial__Sample09__MiFish	11_Poeciliidae	495
ClaidentTutorial__Sample09__MiFish	12_Stomiidae	994
ClaidentTutorial__Sample09__MiFish	13_Leuciscidae	987
ClaidentTutorial__Sample09__MiFish	14_Osphronemidae	496
ClaidentTutorial__Sample09__MiFish	15_Xenocyprididae	492
ClaidentTutorial__Sample09__MiFish	16_Umbridae	983
ClaidentTutorial__Sample09__MiFish	17_Tetraodontidae	0
ClaidentTutorial__Sample09__MiFish	18_Cobitidae	496
ClaidentTutorial__Sample09__MiFish	19_Notopteridae	489
ClaidentTutorial__Sample09__MiFish	20_Synodontidae	493
ClaidentTutorial__Sample09__MiFish	21_Soleidae	494
ClaidentTutorial__Sample09__MiFish	22_Sinipercidae	497
ClaidentTutorial__Sample09__MiFish	23_Nemipteridae	489
ClaidentTutorial__Sample09__MiFish	24_Centrarchidae	491
ClaidentTutorial__Sample09__MiFish	25_Eleginopidae	494
ClaidentTutorial__Sample09__MiFish	26_Alepocephalidae	492
ClaidentTutorial__Sample09__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample09__MiFish	28_Labridae	0
ClaidentTutorial__Sample09__MiFish	29_Cottidae	496
ClaidentTutorial__Sample09__MiFish	30_Rhombosoleidae	496
ClaidentTutorial__Sample09__MiFish	31_Doradidae	495
ClaidentTutorial__Sample09__MiFish	32_Apogonidae	496
ClaidentTutorial__Sample09__MiFish	33_Molidae	0
ClaidentTutorial__Sample09__MiFish	34_Holocentridae	491
ClaidentTutorial__Sample09__MiFish	35_Pomacanthidae	490
ClaidentTutorial__Sample09__MiFish	36_Zenionidae	494
ClaidentTutorial__Sample09__MiFish	37_Ariidae	0
ClaidentTutorial__Sample09__MiFish	38_Cyprinodontidae	0
