samplename	MiFish_STD_04-2	MiFish_STD_03	MiFish_STD_02	MiFish_STD_01	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215	otu_216	otu_217	otu_218	otu_219	otu_220	otu_221	otu_222	otu_223	otu_224	otu_225	otu_226	otu_227	otu_228	otu_229	otu_230	otu_231	otu_232	otu_233	otu_234	otu_235	otu_236	otu_237	otu_238	otu_239	otu_240
ClaidentTutorial__Sample11__MiFish	2250	941	270	127	522	478	416	247	234	391	239	304	278	397	177	320	389	0	294	287	480	203	0	437	0	240	370	0	0	0	209	324	248	0	0	0	0	337	0	0	0	289	690	256	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	118	0	271	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	263	0	0	292	0	0	377	232	0	418	0	247	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	317	0	0	0	0	356	0	0	0	555	260	0	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	390	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample12__MiFish	2316	691	355	119	373	492	299	575	525	266	476	433	336	455	229	217	480	0	346	492	283	278	0	347	0	326	383	0	0	0	237	303	285	0	293	0	0	332	0	0	0	190	317	0	0	0	0	0	310	0	0	0	0	0	0	0	394	290	0	0	458	0	277	296	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	412	0	0	239	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	292	0	249	0	352	0	0	0	0	0	0	0	0	201	481	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	140	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample13__MiFish	2224	822	276	167	335	239	279	379	196	342	257	444	266	403	370	228	263	0	323	428	0	215	0	320	315	326	202	0	0	0	331	274	367	0	371	0	0	411	0	0	0	308	449	0	0	0	145	0	279	0	0	0	0	0	0	0	471	502	0	0	596	0	320	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	187	0	0	326	0	0	0	0	0	0	0	330	0	0	0	0	0	0	584	0	281	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	260	0	0	272	0	305	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0
ClaidentTutorial__Sample14__MiFish	2202	775	466	103	281	360	283	300	325	257	0	255	358	324	505	482	194	0	227	574	0	421	0	487	423	301	455	0	0	0	327	0	281	0	373	0	0	0	0	0	0	282	245	0	166	0	393	0	276	0	0	0	0	0	296	0	220	244	0	150	318	0	532	268	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	367	0	0	0	0	0	0	0	189	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	277	0	0	0	0	0	0	0	0	0	0	332	414	0	0	0	0	0	0	0	0	403	0	0	378	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample15__MiFish	2223	795	233	113	200	444	216	332	196	303	0	488	210	298	540	273	387	0	299	213	0	0	0	0	402	326	0	0	0	0	229	0	277	0	242	0	0	0	0	0	0	348	274	0	277	0	301	0	301	427	0	0	255	0	379	0	255	369	0	404	388	275	194	299	166	0	317	0	0	0	0	0	550	129	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	675	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	382	327	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0
ClaidentTutorial__Sample16__MiFish	2448	815	340	159	316	533	346	0	466	259	0	444	291	270	463	389	472	0	266	229	0	0	0	0	329	0	0	0	0	0	271	0	0	0	190	0	0	0	0	0	0	447	194	0	242	0	244	0	339	397	0	0	479	0	466	0	223	272	0	222	0	487	275	480	279	0	334	0	0	0	315	0	486	288	0	245	0	0	0	0	186	0	0	0	273	0	0	0	0	0	0	0	298	0	0	0	0	0	377	0	0	0	0	193	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	331	0	0	0	0	0	282	269	0	0	0	0	0	0	0	293	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample17__MiFish	2518	630	338	191	192	364	426	0	265	295	0	562	470	224	260	318	0	0	0	381	0	0	0	0	488	0	0	0	0	0	233	0	0	0	216	0	0	0	0	0	0	315	0	0	413	0	342	0	0	284	0	0	281	0	435	0	388	245	0	451	0	206	0	0	311	0	420	0	0	0	250	0	319	224	0	319	0	0	358	0	235	0	0	0	157	0	0	0	0	0	0	0	282	154	0	0	373	0	226	0	0	0	0	0	0	383	0	0	337	155	0	320	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	388	305	241	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	297	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample18__MiFish	2615	694	354	95	257	172	341	0	0	274	0	385	268	244	341	312	0	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	281	0	0	491	0	362	0	0	427	0	0	381	0	488	0	0	0	0	352	0	340	0	0	262	0	238	0	0	0	405	0	0	343	0	220	0	0	397	0	436	0	0	0	328	0	0	0	0	0	0	0	0	384	0	0	478	0	263	0	0	0	0	0	0	319	0	0	271	234	0	337	0	0	0	344	305	301	0	0	0	261	0	0	0	0	0	0	343	163	462	0	0	370	0	0	0	0	0	0	0	0	0	0	199	0	227	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	329	0	131	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample19__MiFish	2524	684	279	145	0	0	382	0	0	458	0	270	388	0	0	268	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	229	0	197	0	0	319	0	0	255	0	0	0	0	0	0	322	0	566	0	0	434	0	245	0	0	0	361	0	0	430	0	218	0	0	563	0	335	0	0	0	316	0	0	0	0	0	0	0	0	510	0	0	506	0	206	0	0	0	0	0	0	233	0	0	377	483	0	146	0	0	0	335	463	348	0	0	0	381	0	0	0	0	0	0	0	262	271	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	271	368	0	0	0	0	258	0	309	0	0	180	0	0	0	258	0	0	0	0	254	0	0	267	0	307	0	0	0	328	0	367	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample20__MiFish	2488	774	347	123	0	0	337	0	0	315	0	319	525	0	0	289	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	582	0	318	0	0	358	0	0	434	0	0	0	0	0	0	0	0	0	0	0	374	0	193	0	0	0	370	0	0	234	0	182	0	0	241	0	337	0	0	0	398	0	0	0	0	0	0	0	0	331	0	0	0	0	236	0	0	0	0	0	0	203	0	0	234	345	0	405	0	0	0	460	359	477	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	346	0	0	0	0	416	0	349	0	0	466	0	0	0	239	0	0	0	0	351	0	0	0	0	245	0	0	0	202	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	344	0	0	336	0	0	0	0	0	324	0	310	0	0	0	0	0	0	0	0	259	257	0	0	0	0	0	187	0	0	144	125	0	0
