0.0647	denoised_001	KT601639_70_1019	AP011449_70_1021	KT601639_70_1019	80.7	78.9	78.1	84.2	78.9	3	0	0	8	6	16	1.8	N
0.0571	denoised_098	MW309824_69_1018	MK541897_69_1013	MW309824_69_1018	72.1	69.4	64.0	72.1	69.4	12	3	18	4	1	9	2.7	N
0.0000	denoised_073	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_102	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_096	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.2066	denoised_053	MW471078_70_1025	MW856841_69_1012	MW856841_69_1012	75.0	61.6	68.8	71.4	68.8	7	0	11	17	2	15	6.2	N
0.0000	denoised_100	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_105	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_101	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_078	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_110	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_113	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.2381	denoised_107	MH330683_69_1011	AP008991_69_1014	AP008991_69_1014	90.6	71.8	88.9	72.6	88.9	2	0	0	25	3	8	1.7	N
0.0000	denoised_091	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_108	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_085	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_111	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_099	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_103	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.1349	denoised_112	AP014530_69_1010	KT288182_69_1013	KT288182_69_1013	87.4	74.8	85.4	74.8	85.4	2	0	0	17	4	9	1.9	N
0.0000	denoised_097	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.2149	denoised_092	MK784230_325_1269	MK784233_410_1351	MK784230_325_1269	95.8	91.5	90.7	83.9	91.5	7	1	0	7	2	2	4.2	N
0.0000	denoised_089	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_077	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.2222	denoised_051	MN064721_73_1011	AB445125_69_1011	AB445125_69_1011	89.2	78.4	86.5	80.2	86.5	3	0	0	14	2	10	2.7	N
0.0000	denoised_106	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_109	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_104	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_093	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_086	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
