samplename	unidentified_Gastromyzontidae	Canthophrys_gongota	Sardina_pilchardus	Jaydia_lineata	unidentified_Amblyopinae	Paraconger_notialis	Odontobutis_haifengensis	Symphysodon_aequifasciata	unidentified_Osteoglossiformes	unidentified_Acanthaphritis	Pagellus_bogaraveo	Onychostoma_meridionale	Eumegistus_illustris	Cynoglossus_abbreviatus	Diplacanthopoma_brachysoma	Ponticola_kessleri	Megalops_atlanticus	Hyporhamphus_limbatus	Heniochus_diphreutes	unidentified_Homatula	Scolopsis_ciliata	Polyacanthonotus_rissoanus	unidentified_Sphyraena	unidentified_Oreochromini	Pristipomoides_multidens	Micropterus_dolomieu	Facciolella_oxyrhyncha	Acanthocepola_krusensternii	Amblydoras_gonzalezi	Rastrelliger_brachysoma	Dallia_pectoralis	Solea_senegalensis	Squalomugil_nasutus	Rasbora_sumatrana	Etheostoma_trisella	unidentified_Pampus	Luciogobius_elongatus	Eleutheronema_tetradactylum	Eigenmannia_sp._CBM-ZF-10620	Acestrorhynchus_sp._NM-2010	Cephalopholis_argus	Pantodon_buchholzi	unidentified_Channa	Latimeria_chalumnae	Lepidoblepharon_ophthalmolepis	Coilia_reynaldi	Elassoma_evergladei	Bolbometopon_muricatum	Chaetobranchopsis_bitaeniatus	Leiodon_cutcutia	unidentified_Mastacembelidae	Sundasalanx_praecox	Eugnathogobius_polylepis	Eurypegasus_draconis	Polymixia_japonica	unidentified_Aspasma	Leiopotherapon_unicolor	Megaleporinus_elongatus	Paracheirodon_axelrodi	Aplocheilus_lineatus	Halichoeres_melanurus	Carapus_bermudensis	Bhavania_australis	Microthrissa_congica	Parazen_pacificus	Monocentris_japonicus	Sabanejewia_radnensis	Nothobranchius_kafuensis	Plectropomus_areolatus	Umbra_limi	unidentified_Trichopodus	Enteromius_trimaculatus	Pteraclis_aesticola	Monopterus_albus	Paraluteres_prionurus	Arripis_trutta	Cranoglanis_bouderius	Hime_japonica	Anabas_testudineus	Halichoeres_hartzfeldii	Corydoras_rabauti	Conger_japonicus	unidentified_Pethia	Aplocheilus_panchax	Opsariichthys_bidens	Triplophysa_yarkandensis	Bothus_pantherinus	Trachidermus_fasciatus	Glossogobius_circumspectus	Zeus_faber	Pseudaesopia_japonica	unidentified_Plotosus	Myctophum_affine	Acentrogobius_pflaumii	Chaunax_abei	Psilorhynchus_sucatio	Hoplolatilus_cuniculus	Embiotoca_jacksoni	Galaxias_truttaceus	Polyspina_piosae	Doederleinia_berycoides	Triphoturus_mexicanus	Procetichthys_kreffti	Ictalurus_furcatus	Amblypharyngodon_mola	unidentified_Kyphosus	unidentified_Anarhichas	Xenotoca_eiseni	Masturus_lanceolatus	Cirrhitichthys_aprinus	Grammatobothus_polyophthalmus	Esomus_metallicus	Gymnorhamphichthys_sp._NM-2010	Elagatis_bipinnulata	Clypeobarbus_pleuropholis	Astronotus_ocellatus	Gymnomuraena_zebra	unidentified_Callionymidae	Stolephorus_insularis	Eleginops_maclovinus	Syncrossus_beauforti	Ptychochromoides_katria	Cromileptes_altivelis	Malapterurus_electricus	Exyrias_puntang	unidentified_Heterocongrinae	Esox_lucius	Otolithes_ruber	Triplophysa_rosa	unidentified_Pseudorhombus	Heterotis_niloticus	Avocettina_infans	unidentified_Zebrias	Vaillantella_maassi	Parachanna_insignis	Trixiphichthys_weberi	unidentified_Sardinella	unidentified_Oreoglanis	unidentified_Sciaenidae	Pervagor_janthinosoma	Plectorhinchus_cinctus	Monotaxis_grandoculis	Galaxias_gollumoides	Chauliodus_sloani	Anyperodon_leucogrammicus	Microcanthus_strigatus	Arnoglossus_polyspilus	Lophiogobius_ocellicauda	Percopsis_transmontana	Channa_micropeltes	Archiaphyosemion_guineense	Rhynchactis_macrothrix	Eucyclogobius_newberryi	Cabdio_morar	Arnoglossus_tenuis	Hiodon_alosoides	Olisthops_cyanomelas	Ichthyborus_ornatus	Hemiculter_bleekeri	Rhodeus_shitaiensis	unidentified_Psenopsis	Ehirava_fluviatilis	Pythonichthys_microphthalmus	Lepomis_gulosus	unidentified_Echeneis	Bodianus_oxycephalus	Pseudorhombus_dupliciocellatus	Sirembo_imberbis	Hyporhamphus_intermedius	unidentified_Helicolenus	Fistularia_commersonii	Clupea_harengus	Synodus_variegatus	Bufoceratias_thele	Enteromius_fasciolatus	unidentified_Laeops	Horabagrus_brachysoma	Clupeichthys_perakensis	Gudusia_chapra	Hemigrammus_bleheri	Halichoeres_tenuispinis	Macrorhamphosodes_uradoi	Stephanolepis_cirrhifer	Cottiusculus_nihonkaiensis	Doryrhamphus_japonicus	unidentified_Characidae	unidentified_Trachipterus	unidentified_Lutjanus	Symphurus_orientalis	unidentified_Gerres	Lamprogrammus_niger	unidentified_Elops	Pictichromis_paccagnellae	Psammoperca_waigiensis	Sillago_asiatica	Ateleopus_japonicus	Mugilogobius_chulae	Danio_rerio	Girella_punctata	Kryptolebias_hermaphroditus	Acentrogobius_caninus	Anoplocapros_lenticularis	Epinephelus_areolatus	Rudarius_ercodes	Leuresthes_tenuis	Etheostoma_caeruleum	Rhinichthys_atratulus	Protopterus_aethiopicus	Minytrema_melanops
ClaidentTutorial__Sample11__MiFish	228	224	231	224	229	228	227	226	231	223	231	231	223	223	235	227	226	233	221	216	0	229	219	0	230	0	0	0	0	0	228	216	0	0	0	0	0	231	0	231	0	0	223	228	0	0	0	0	0	0	228	229	0	0	0	0	0	0	0	0	226	0	221	217	226	0	0	0	0	0	0	0	0	0	0	0	221	0	224	0	218	0	0	222	0	0	0	0	0	0	218	0	0	0	0	0	0	0	226	0	0	0	0	0	227	220	225	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample12__MiFish	235	232	227	224	228	218	223	226	227	235	228	235	230	218	222	227	0	236	226	0	0	230	234	0	230	228	0	0	0	230	229	224	0	0	0	0	0	222	0	0	0	0	234	226	0	0	0	0	0	219	225	225	220	0	0	0	0	0	0	0	228	0	228	226	228	0	0	0	0	0	0	229	0	0	0	0	230	0	225	0	225	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	228	227	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	218	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample13__MiFish	225	229	233	227	216	223	229	227	227	226	227	0	0	223	231	227	0	227	226	0	227	226	0	0	225	229	0	0	0	218	227	222	237	224	0	0	217	228	0	0	0	0	223	225	0	223	0	0	0	226	0	220	225	0	0	0	0	0	222	0	228	0	227	224	224	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	233	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	229	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	226	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0
ClaidentTutorial__Sample14__MiFish	220	225	227	226	229	229	224	220	215	224	0	0	0	219	230	224	223	0	234	0	224	228	0	0	227	233	0	0	0	220	227	0	231	221	0	0	223	225	230	0	0	0	0	217	0	226	226	222	0	233	0	228	231	231	0	0	0	0	227	0	223	0	222	234	224	0	0	0	0	0	0	0	230	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	228	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0
ClaidentTutorial__Sample15__MiFish	235	226	221	226	221	226	229	0	0	234	0	0	224	223	231	224	226	0	0	0	228	230	0	0	230	230	0	0	0	230	223	0	228	232	0	0	230	226	233	0	0	0	0	233	0	227	229	232	0	228	0	226	224	233	0	227	0	0	230	0	0	0	224	225	0	229	0	0	0	0	0	226	232	0	0	0	0	0	229	0	0	224	0	0	0	0	224	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0
ClaidentTutorial__Sample16__MiFish	224	224	222	223	0	228	226	0	0	231	0	0	220	0	225	222	219	0	0	0	218	230	0	0	232	226	0	0	0	233	228	0	219	235	224	0	225	0	228	0	0	0	0	0	0	224	227	225	0	226	0	230	225	224	0	225	0	0	230	0	0	0	233	227	0	228	0	0	0	226	231	218	220	0	0	0	0	0	0	0	0	0	227	0	219	0	214	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	227	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	232	229	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample17__MiFish	230	229	224	226	0	0	220	0	0	226	0	0	224	0	0	0	225	0	0	0	225	227	0	0	231	228	0	0	0	235	223	0	229	234	225	0	227	0	237	0	0	0	0	0	0	227	226	229	0	222	0	0	227	218	0	0	0	0	224	223	0	0	0	0	0	221	0	0	0	233	228	237	0	0	0	0	0	0	0	0	0	227	224	0	232	0	221	0	0	235	0	227	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	228	225	229	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	227	0	0	0	226	224	0	0	0	0	0	0	0	0	0	0	230	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample18__MiFish	234	227	0	234	0	0	229	0	0	0	0	0	230	0	0	0	225	0	0	0	219	233	0	0	233	228	0	227	0	218	230	0	235	228	232	0	229	0	234	0	0	0	0	0	0	231	229	223	0	227	0	0	221	222	0	0	0	0	229	228	0	0	0	0	0	227	0	0	0	231	225	231	0	232	0	0	0	0	0	0	0	225	234	0	218	0	226	0	0	0	0	222	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	229	0	214	0	0	229	233	233	0	0	224	0	0	0	0	0	227	0	0	0	0	0	226	229	0	0	0	0	219	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0
ClaidentTutorial__Sample19__MiFish	227	230	0	223	0	0	232	0	0	0	0	0	226	0	0	0	228	0	0	0	232	0	0	0	221	234	0	230	0	228	224	0	229	225	235	0	226	0	236	0	0	232	0	0	0	228	223	230	0	0	0	0	0	221	0	0	0	0	0	222	230	0	0	0	0	0	0	0	0	230	232	0	0	219	0	0	0	0	0	0	0	227	223	0	228	0	229	0	0	0	0	228	229	0	0	234	0	0	0	0	0	0	0	0	0	0	0	215	223	0	225	0	227	236	224	0	0	0	225	0	0	0	0	0	225	0	0	0	0	0	0	222	0	0	0	0	225	224	0	0	0	0	0	0	0	228	225	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample20__MiFish	224	223	0	0	0	0	231	0	0	0	0	0	228	0	0	0	0	0	0	0	226	0	0	0	216	234	0	239	0	231	0	0	232	226	227	0	221	0	227	0	0	0	0	0	0	0	226	0	0	0	0	0	0	221	0	0	221	0	0	231	226	226	0	0	0	0	0	0	0	228	230	0	0	232	0	0	0	0	0	0	0	226	219	0	228	0	0	0	0	0	0	235	225	0	0	224	0	0	0	0	0	0	0	0	0	0	0	227	217	0	226	0	237	224	232	0	0	0	233	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	226	220	0	0	0	0	0	0	0	230	231	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	229	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	224	0	0	0	0	0	221	0	0	220	0	0	220	0	0	0	0
